shortname,website,region,rating_google,reviews,field_lcp,field_cls,field_inp,field_fcp,field_speed_problem,field_ux_problem,perf_score,issues,category,accessibility,best_practices,seo,concatenated_reviews,title,mobile,mobile_lcp,mobile_cls,mobile_inp,desktop,desktop_lcp,desktop_cls,desktop_inp,lab_speed_problem,lab_ux_problem,fh_score,rating,img_sav_kb,js_sav_kb,css_sav_kb,photo_url,fh_site,account_tier,latitude,longitude
alhambraygeneralife.org,https://alhambraygeneralife.org,EMEA,4.5,2111,1.2 s,0.0,n/a,0.9 s,🟢 Stable,⚪ n/a,74,"High LCP (avg: 5.5s), Desktop bonus (+2)",Alhambra Entradas | My Top Tour,n/a,n/a,n/a,"Our tour of the Seville Cathedral was amazing! Our guide, Pablo, was very knowledgeable and witty. If you’re looking for something to do in Seville, I’d highly recommend this tour., Office reception is good. Very clear for service. 😉
Guide is so great. He is explain here with enthusiasm & knowledge. 🌟🌟🌟🌟🌟

It is my first time join this kind of project, I am really enjoying walkin..., Did the free tour of the historical center with Jesus. He’s a great guide, gave us plenty of information for many places in Granada and although in fact it’s a small area, we covered a lot of history...., Hana was a great guide, worth to take a guided tour to understand history behind walls we visited. Also I've notice that are comments related to the price. Ticket includes many others entries plus bus..., Got my self a night tour, with tour guide name Sheikh. He is knowledgeable and fun. Every one will be equipped with hearing device so you will get clear explaination from the tour guide. As this is ni...",Alhambra y Generalife | Grupo Xplorer,61,9.2 s,0.002,17.9 s,86,1.9 s,0.001,3.7 s,🟡 Borderline,⚪ n/a,70,Needs Improvement,22.9,1937.0,158.1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpcjTj6JsENRUvJ8-2m_WziUl_wxl377J5nI78rm8GbaOmZW-SJWtppFkpBqtp1Ifkwyq7nCrVhhdCGuPL2zPG0wJ46wMIftb6eo0zvLKBfInoyAmVPCRqQPyfmFGwG6L3RWmpt2u7qLhU6hUPiAMU7mGYxWSetsYEqShCMAfkKfFGWHM9kmdOu75PTx5iwyV5Agprj5ptBGqheThFg_0J6yz99uuyoBnS5ZEn-4jy9qHu4a0XT7-W0cBuTo1VpO9jtltkHVkQqpYoUTH3-UmRiQMeIsC75oeO7alVAs8Jp3d1CONwFqWNWRS434AvQBZcOTxZupkcw&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,37.17316709999999,-3.5840024
comedyembassy.com,https://comedyembassy.com,EMEA,4.8,64,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,50,High LCP (avg: 9.5s),The Comedy Embassy,n/a,n/a,n/a,"Don’t trust them! They will sell you a ticket & not honor it. The place only has online tickets. Problem is that there’s a disconnect between the venue and the ticket widget. Don’t expect to get in ju..., Look...I know it's unfair to rate a comedy place after just seeing one show. But late February English show was so bad, I had to.

Almost sold out. Host comes out and is highly insensitive about war r..., It was okay, the staff and drinks are here good. But sorry to say I didn’t thing the comedians where that great (but of course each to there own), How can I describe what I experienced on Saturday in a written form, hmmm?!
I laughed so hard, that i was shedding tears all over the place. It was my first time visiting such an event. I was always w..., Great host, was as funny as the comedians themselves, she helped bring the crowed in the right mood.  The staff were very effective and brought our drinks fast during the show. The comedians were hila...","The Comedy Embassy | Comedy Club - Amsterdam, Netherlands",39,17.6 s,0.001,29.3 s,62,1.4 s,0,7.0 s,🔴 High (Slow),⚪ n/a,46,Poor,78.1,4224.0,1100.1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdnteVev0Az0xlgN1asWaq_bjv3iJbjQXwbWw6_lVIWcm1sMa49P7iI104rnRwVfH3M8CnTyDEMVhz8MxiqY4OSwfv7Hpu8UN_8vLfPMsOhjUIOkq3ZoOipfHEQHKSG0LyCYY2hXKKKKuUNUqMNcmK4MqUu9vMFDaqBnDsYuvneE8D3cjWUKwcaSl6T_nKSSogkGU2eSajRitpeE39yVgZx8y2QIbWE3ozM3rueDyB-u2kIXIaX1ck0wbzT0LIoPGzFgaecCHeWxqasVyv1wAsNs76yN-ozHiKfHPvABRJWJ4n1XT4SHqnotSOFjpKjjRbdbpq5z-17RONhcJKqNE-m5zZ_BGEutWKpUk1HGZd_O0eFujSHlPGe_OISuVCDN0SLDRx9YmIPo2bwTydhFW-fS8gmJgykzwY1uaaE_Nn4uqiQrTtkD2iD04U5DtjTst-vgzzLp3CdWovbY8Big8cK10cExzUXkm9AmL_oQRCIKuvkTHVupkud9gUsI0AkuRtWEfZyXRRgLOa3WHKnGQI13E-Kl1WcW0njbGVpQlNj4KLllA-vQKf29W-JWylbqnY0lzJFRbVXPbHdc2KACFXRT_E-5dJGao0Oh8qX_c9BZji3Y4R4VzIxT1_87r6lR1DqEg&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,4,52.3726298,4.8791389
hungaroraft.hu,https://hungaroraft.hu,EMEA,4.9,162,3.2 s,0.004,n/a,2.6 s,🟡 Borderline,⚪ n/a,52,High LCP (avg: 14.3s),HungaroRaft Kft.,n/a,n/a,n/a,"Marci was our captain, he is very kind and professional guide. The rafting was so delightful that we will do it again tomorrow. Strongly recommended !, Great place to try your first time! Very calm and experienced guide! Lot of activities and enough adrenaline! beautiful river. Punctual timing. Didn’t buy photos yet, so have only one/ dressing up swi..., I had the absolute best time of my life with Hungaroraft! The rafting experience was exhilarating from start to finish, with just the right mix of adrenaline and fun. The guides were professional, kno..., Unique experience on the Soca river with a fun and professional team! Stunning view, great stops with some extra adrenaline rush opportunities (voluntary, but worth it:)). The guides are not only maki..., One of the best things you would do in life. Absolutely great company. We did Canyoning, and it was an amazing experience. They are very knowledgeable, patient, and professional. It was a lot of fun. ...","HungaroRaft | Rafting és Canyoning túrák, Szlovénia, Bovec",46,26.7 s,0.062,28.6 s,58,1.9 s,0.009,5.3 s,🔴 High (Slow),⚪ n/a,47,Poor,648.3,3111.9,281.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdE48wjegcfhBX0siborrzzllka2xXiQURCBNqXSfqRG3r92gGQjiT-7RNbGqQSYnDSou-CmlNatIgEp6zaiOakp8EXyRcTnYH6pMvFbsh2XvO6QZZixN9NGntJv3U0p2u0SGW_cgXmSoAiUeoGgeUNm8qON270EvxQOpVPbJYVIKYWo3YZCgo8Ule83LdRsdpOAIIV9iSka1Gr5Buhmx9QUr4yo1_zmkLXrhq0DxxQHRhe7xLZL74FLMxs25tJmu9nayo5iSrfulAj9pA2RCxxqLkwXP4Z6JxoDyzlDvzTYnERn8F5WokXbMRivRPQqLuKCdQzroE&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,46.3375075,13.5540227
friendshipamsterdam.com,https://friendshipamsterdam.com,EMEA,4.7,1729,2.6 s,0.01,n/a,1.4 s,🟡 Borderline,⚪ n/a,54,High LCP (avg: 8.0s),Rederij Friendship,n/a,n/a,n/a,"Went on the unlimited cocktail cruise and all I can say it was amazing, our skipper and driver Rene, told us lots of history of what we were seeing and just was funny in general. However the hostess, ..., Was such a beautiful and relaxing way to see Amsterdam, I have walked the streets of Amsterdam many times and decided to try the boat.
Was such great insight and tour, lovely staff (Bert and Stephen)
..., Such a relaxing and informative cruise! Walter and Walter were great staff and kept the mood fun while giving us good historical facts and pointing out some of the cooler spots along the route. Would ..., On our recent visit to Amsterdam our hotel concierge recommended us friendship cruise. We went with no expectation but it was one of the best decisions. It was fun, informative and interactive. The gu..., We bought last minute tickets for this boat ride, I’m not sure why but for unlimited alcohol- we had to purchase tickets online rather than in person which made it a bit more difficult but it still wo...",Friendship Amsterdam | Canal Cruise Amsterdam,43,14.8 s,0.081,25.7 s,64,1.2 s,0.057,5.0 s,🔴 High (Slow),⚪ n/a,48,Poor,543.6999999999999,2117.8,155.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfMc8lyL1GrElwep4_cC7zNIEyAHFV8-HlZLvEm1ceVi1QsDAZzfScCWNL4j8gKUQOECkVBUbTZrIYjzJSECIA4xptKFQfuEmS2izgRU9y0cQrvYdXnEn82cnAjGiwjkaU0m-FVmAFUQsoawfC-1h_vku_8TJ12DaE3F_ygrEufVhZjYV_-xNHh78jw4dlxsYojjIqzMFVRvJG9FszzFT0ilcM5bX1D6jeDeuuyRZW2iTkQv6CKVoPp1czu-TTkvq0fC_G1mj1fyQfWUTy23XH7kKedYS0kmZ-PSNKVfRw4eLJct3InxQweh_oXL65jNHqOXYChgxw&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,52.3722958,4.8959524
iceguide.se,https://iceguide.se,EMEA,4.9,141,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,74,High LCP (avg: 3.4s),Iceguide | Heinabergslón Glacier Kayaking Meeting Point at Gerði Guesthouse,n/a,n/a,n/a,"Although all of Iceland is breathtaking this tour was a once in a lifetime experience. Our guide Laurent was amazing. He went out of his way to ensure our whole group (of only 5) were able to experien..., Once in a lifetime experience kayaking with glaciers by your side. Guides were patient with everybody and knowledgeable. Had a great time here and the short walk on top of a glacier was the cherry on ..., We loved our glacier kayaking tour!
Our guides were knowledgeable, funny and caring. We got lots of information and a really cool tour. We even got to got inside a blue ice cave. 😃
Book your tour!

We..., Strong winds and an Atlantic Gyre broke our kayak plans on diamond beach, but Iceguide was able to promptly accommodate a switch to the Glacier Hike with an amazing guide. We unknowingly booked the mo..., We had originally scheduled to Kayak at Jökulsárlón but our tour had to be canceled due to bad weather and high winds. While we were extremely bummed at first, Veronika at customer service was FANTAST...",ICEguide | Ice Skating Tours in Stockholm,72,5.0 s,0.002,13.7 s,77,1.7 s,0.001,4.2 s,🟡 Borderline,⚪ n/a,70,Needs Improvement,75.0,1723.2,200.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeoutt1eD0N4oFTnIdtVo4C-Ot-cvCIjuynV-xiJteBIH1teTBUH5D27VxZJhR8_Wqk-ccm7qAqXW6yllRKTdweRcKBdeEG59lx5Miotzl24pKzWnGFH6LikCSSjneGP4nEgYtCDlm7b8nvtvimUaLlLYWcSuhdMTDcjE3tG9P8GjXEUYePB--TNo4X47Dlnu8LS-SWF3JLnGb2n8oQr1jMyQDRLpdEWzNVMKkF6uV6vZHKeoJ5fmwYA9GcNegBJIApJ2hKDTJL3EfjolGNtd7E68Upu2_IYXk9v-cb6Re2nw2xQBRrubT7NyG1paJ672cKxeATMN0&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,64.1281797,-16.0109892
thevikingplanet.com,https://thevikingplanet.com,EMEA,4.2,1699,2.2 s,0.028,n/a,1.1 s,🟢 Stable,⚪ n/a,50,High LCP (avg: 10.7s),The Viking Planet,n/a,n/a,n/a,"In general very fun place to visit. The vr experience was definitely fun. Otherwise it's just your everyday interactive museum. A shame that the museum with the ships is under construction but its the..., I personally did not like the idea of immersive museum. It is just a dark room with some screens. Only VR boat was cool, short (10min) though. Not really worth 25€ , in my opinion. It was not crowded,..., If you want to come just for the VR film, you may feel disappointed since it’s only 10 min or less and the quality was not that great… but the other parts are nice and amazing, well organised presenta..., On vacation with family we decided to visit the Viking Planet, as me and my son were intrigued by the old Scandinavian way of living. The experience was amazing! Definitely recommended if you are in t..., This place was everything and more. I booked my ticket via TripAdvisor and it was 1 stop off the train from Oslo central. I spent 2 hours in here. It is a self tour of the history of the vikings which...","The Viking Planet | Digital Viking Museum in Oslo, Norway",43,19.7 s,0,20.2 s,58,1.7 s,0.006,8.8 s,🔴 High (Slow),⚪ n/a,46,Poor,107.7,2410.6,274.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfvMOAhNza9yPyTwxviEhM3gi0U5dJIjF537MVPpaNROPjgj7QKXYp-fzEBdkGZkKL1ln-46kBvPm5pkz644w0E21enVBkDwIECxtyBvjQJorePe3LMw7rYFXmPlMUvT46Tv_-Dz-yHEj1VNwU3x0kxTpOLcW4lCfRbZqOWk5C6qxsPJNlriQxdwhZvByGsCwepkf--Wcw9v5N5CsRXaSbMcxUKvPJYAY_e951Z10Knkftn-B0Fn8lgqAlK5HH17ReXAxtZ1I1FLhX08xhYMqJ0zPIRiue4f-4Csg_5luZuUIjIysRFjEkjs1ylAcVJzsCAXH-1z1Zf5x0-UGxQBsW-A1Mqzy3fuG7JrJpH1kNWjqXkR_ntTc9OmOjU4VonJqBDQlp2qh-YdVHM-flmceYzLanW0Lm902ko8cjkeWLnk5tr2eS1Z-GDpKKWCN6fdUABXjmiJEL5Dhp2i9z7GOWZZZlIPkZt-YEkHpoRckf0zazYfp3SJQK7AfF9L5fwp4gp-AmgxyX3Ky9OFQCsX2f7Ye6XMGcRjU_fsYe7LIHcBtJ02_2yxQHx_4cfW6n9H4HRU7JNQCCxGbI5s-80DYKfobefsYY-LAX8CCFWa6E2vhpvbqf6vMeKAJFz6TJWVRM6-g&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,59.9132804,10.7341756
tenerifeairporttransfers.co.uk,https://tenerifeairporttransfers.co.uk,EMEA,n/a,n/a,1.2 s,0.0,n/a,0.9 s,🟢 Stable,⚪ n/a,80,"High LCP (avg: 3.0s), Desktop bonus (+2)",tenerifeairporttransfers.co.uk,n/a,n/a,n/a,n/a,Tenerife Airport Transfers | Tenerife Airport Taxi South & North,73,5.3 s,0.024,14.0 s,88,0.8 s,0.006,2.9 s,🟡 Borderline,⚪ n/a,78,Needs Improvement,1078.6,1248.4,144.89999999999998,n/a,Yes,2,n/a,n/a
trondheimkajakk.no,https://trondheimkajakk.no,EMEA,4.9,189,2.3 s,0.0,n/a,2.3 s,🟢 Stable,⚪ n/a,46,High LCP (avg: 9.5s),Trondheim kajakk,n/a,n/a,n/a,"The kayak route itself was gorgeous. Making reservations way easy, the company was easy to get a hold of.

Our ""guide"" never introduced himself, rushed through describing the route, got us in the wate..., We did the guided history tour through Trondheim and loved our experience! It was so fun to get to see the city from a new perspective and learn some facts about Trondheim. The guide was friendly and ..., You should be attentive during booking and available options. We made a mistake and came to another meeting point. Also self service looks a bit challenging. It can be also be a bit expensive for some..., Best kayak tour if you’re visiting Trondheim!

I did the classic Trondheim trip without instructor and it takes between 1.5 and 2 hours, didn’t feel exhausting at all and I never kayaked before!
It wa..., We had an excellent morning kayaking down the river and through Trondheim.   Our guide was excellent explaining how to get set up and prepared and where to go.  After that we were off.    The route fl...",Trondheim Kajakk | SUP & Kajakk i Norge - Trondheim,36,17.2 s,0.022,41.2 s,57,1.8 s,0.005,8.0 s,🔴 High (Slow),⚪ n/a,42,Poor,295.7,4715.8,1078.1,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdjb6fHxfulnHW3N15nEgiWDSu3bkcpOldkwstEQq1gzEqnyWCJoj09lHYmb9yTN3pGOd94uumKxE4llhymAxBalNTdqR94RM_EeliTBYMH8-8zosnmGxSJYil73UVjNZCbLBDZO8I2EvoDKbHPzOeWs76pUkljOu4T0rpzU-gLxSEzqIvzgyb72Xq2E2bT-RNVtXoz11STBpz-YJ0txDcj2dspG6mnynB-_fJU8Gma9-s-NWklqcbLWcMMvRXWOdyZu9MZhnkDL6x4P_HKCnk6YIRkYfdDlPFHAkxf0-eliGoyXHrMnJCAPCAOHkt-B8UNGz2x2Ug&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,63.40540799999999,10.3929675
wildwicklow.ie,https://wildwicklow.ie,EMEA,4.8,66,n/a,0.002,n/a,1.4 s,⚪ n/a,⚪ n/a,78,"Layout Shift (avg: 0.105), Mobile bonus (+2)",Wild Wicklow Tours | The Original 5 Star Wicklow Mountains Tour,n/a,n/a,n/a,"Led by Patrick, the Wild Wicklow tour on 25 May provided an exceptional opportunity to experience the remarkable natural beauty of Glendalough and Wicklow. The tour was absolutely amazing! I will cher..., Cannot recommend this tour enough! Thoroughly enjoyed the day especially the whiskey.
Our guide Patrick was very well knowledged about the local area and sites we was visiting even to whos lived in wh..., Great “1st” tour when you are ready to get out of Dublin, the scenery along the way is beautiful, and Patrick from WWT is amazing- he knows everything you can ask, and is incredibly friendly. Well wor..., We had the most wonderful tour with Ashley from WWT! It was our second day in Dublin and we couldn't have picked a more perfect way to spend our time exploring outside of the city and learning more ab..., The guide was friendly and knowledgeable. The bus was comfortable.
Too much time is spent at overpriced coffee shops and restaurants. That time would have been better spent at the last location, a med...","Wild Wicklow Tours | Dublin to Wicklow, Ireland Tour",76,3.6 s,0.087,14.9 s,80,1.4 s,0.124,2.9 s,🟢 Stable,⚪ n/a,77,Needs Improvement,99.3,1273.0,148.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfqDyb8udywpVfCaGZuVdp_J3XCycJhbVPPvSq-U6tYwM5XZ9qBWNAlGfrNX5RGYcl0t3GocVaJJsDq-ALquAWrCHxWD_zY9MFeURdOKItQHSInshR2q0VuXMeJYGSU0ELAXbmBpDAINb1pU2ii-U1oEFTQ3UHzvHsbx6wCXuDcMLZ3khtlAhjAz0otYxYewiPm_J-PqcDrGy5F1n1XrgxK5ojUi4aU0-M3wa5rokRhMXMKoqNOJhHG-q2zowvSB8GHs1epnC9300bgQ-H8kuoKWECsB6dxOAkNUkMJJkf7ODwPj76sduDyiBUIjBQ_xYABLnn3&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,53.1167685,-6.1000871
portugalfarmexperience.com,https://portugalfarmexperience.com,EMEA,4.7,222,1.5 s,0.0,n/a,1.4 s,🟢 Stable,⚪ n/a,71,"High LCP (avg: 9.5s), Desktop bonus (+2)",Portugal Farm Experiences & Tours,n/a,n/a,n/a,"The tour was fantastic! Joana, the guide and organizer, was really knowledgeable,  friendly, and enthusiastic. The fact that she speaks english was especially helpful for us! She introduced us to Joao..., A truly wonderful experience.  After a short but very pleasant drive in the countryside, we were welcomed with juice, fresh bread and home made jams.  The property is nicely managed with a beautiful v..., One of the best experiences I have ever had. The lovely farmer taught me so much about Portuguese culture, flowers, plants, and goats. She was so kind and patient with my English. We played with the g..., This was one of the absolute highlights of our trip to the Algarve. Everything about it felt so personal and full of soul. The setting is stunning – peaceful, rustic, and designed with incredible tast..., Highlight of our trip!  We’re so glad we visited the farm. We were treated like family, served farm fresh bread and various other treats, while learning about the countryside lifestyle and farming. We...",Portugal Farm Experiences | Tour Agriculture Farms in Portugal,51,18.1 s,0,18.3 s,91,0.9 s,0.004,4.0 s,🟡 Borderline,⚪ n/a,68,Needs Improvement,867.2,1378.4,173.89999999999998,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdTtRTph1M6kp2qu9neYl2BY6yPSwut5sRvzxU3ZbjKGdG8bcrap9OvCNdWrAvrC1ylfqeXPcV303uO_RF8KRWYB-U72Irvru8EbZvwz9Xkxwqg_tOlGPW5-lK8Zv6D7h-MTCZaoSrNHKeY3fPUur0W54bffrLAGs8ASFxdvSMFyaKeYS-aCWFUuQbQsOhyU6khQvS9pwgNfxRRGdDE-PkKDsBg2XJ8m27OxmhsTNLt0PbVVrv3-21NVM6JQNVztE6ZRG4inAOAvdNBDLfkx6z96dcy5kam80nyCeyY57Qi5ZibrV6SizG07eiC0P4NkXwQq77M8MU&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,38.7471982,-9.098627
bungeejumpscotland.co.uk,https://bungeejumpscotland.co.uk,EMEA,4.8,363,1.1 s,0.0,n/a,0.9 s,🟢 Stable,⚪ n/a,60,High LCP (avg: 8.2s),Highland Fling Bungee,n/a,n/a,n/a,"I did the bungee jump in December 2024! The bungee jumping was absolutely fantastic! If you want a thrilling and unforgettable experience, I definitely recommend this! The experience would not have be..., Had an amazing time! The crew that guide you through the jump are extremely friendly and encouraging. The view from the bridge is beautiful and everything is very well organised., This is our second visit to Highland Fling, this time it was for the Tandem Bungee. Staff are fantastic at reception all the way through to completing the Bungee, polite, informative and make you as r..., Awesome experience for myself and my husband for first time bungee jumping. The staff were great they really made you feel at ease plus amazing scenery, I’d definitely recommend a trip, Brilliant experience! Cacking myself from start to finish, but still got it done.
Staff are supportive, friendly, and amazing craic!
Definitely recommend 100%",Highland Fling Bungee | Bungee Jump Scotland UK,49,15.3 s,0,16.0 s,72,1.2 s,0.016,4.7 s,🔴 High (Slow),⚪ n/a,56,Needs Improvement,336.9,1789.7,200.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeYE9FNT59ya8_1-Ahzb35OLwl0OKztID2pZLqHDE-aAQiBM1S44VDT0ntSVfEJjAKtJHvsoURhBjz_wJbh40ybrF30srZTZKqW13FLM23CPnGIBKTxILj27GYFC4S__P0pjoz2IXu9Ny7beEnOt8h2GpwNAfhYVwlv3RNYhijscd3fQwf4aq0W-a8MVhZXCCsXPGNm1Fk2bm3dyFAYYctWNFvm1BpaEIOnUqkuBSDbKMOiKG-sbkxXYq_OXa5WuxR9i6eShD1L_YWY5Pt7sQ6z5_DENNuswT_8Ts0m4i47tb3dSYF9psj2K1eEtQ7Xaj50XJCcqbU&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,4,56.7425193,-3.771866
llangollen-railway.co.uk,https://llangollen-railway.co.uk,EMEA,4.6,4721,1.5 s,0.1,n/a,1.3 s,🟢 Stable,⚪ n/a,44,"High LCP (avg: 9.5s), Layout Shift (avg: 0.511)",Llangollen Railway,n/a,n/a,n/a,"Fantastic little railway journey, In fact more than little it’s actually quite a long journey through several stations along the way over lovely bridges, rivers and through the Welsh countryside. The ..., A beautifully ran  railway. It really is a stick back in time to yesterday year. With pretty stations throughout the scenic line, And the excellent friendly staff. The train meanders through some beau..., Although we're local, we spent our wedding anniversary being tourists and the train ride was a fabulous way to explore our favourite venues along the river Dee. Boarding at Carrog, stopping for a drin..., Had lovely day out, love the railway such love scenery. Stops at each station so you can walk around been few times, station is lovely and staff so helpful. We had trouble parking as the town was so b..., Had a amazing day at the Llangollen railway with my wife and parents, the location was perfect, the scenery on the train was breathtaking  all for a reasonable price.
Would definitely recommend",Llangollen Railway | Heritage Train Rides in the United Kingdom,53,16.1 s,0.01,20.9 s,36,2.8 s,1.012,4.1 s,🟡 Borderline,⚪ n/a,36,Poor,8232.2,1882.4,172.0,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeT4iZo31KoupMd9veSNoDwOmiNjZrDFX4-c6k9_IYF8B9wKYAegGPkUqmNVzeJo-zkH9sGv16unKJHLsig3khYW-VSk6HCZZP9aQV7MjuxTimqSZf3faHHuLoKAwbRS1qo_UrWrpqlJ5XZ_wUNY2Lsabd_lcknas6708ILVIbGdwfiOHOZoU4itYN2iye-cv80-XYxsIcZNNAWBqeaVxBPTJAA-H0idLWmZ9QE-nQSo6DRxuM3bcaouKGdIDLDsMgtIxVQF4GahXiPfRb_h-lJP_3LTK7WT8443PrdwKBJcdi0BC79aNo3FTw9GEpqSrwMgBRLNyM&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,52.97133759999999,-3.171122
vintagetrains.co.uk,https://vintagetrains.co.uk,EMEA,4.1,104,1.5 s,0.0,n/a,1.2 s,🟢 Stable,⚪ n/a,50,High LCP (avg: 6.5s),Vintage Trains,n/a,n/a,n/a,"Fabulous day out. The timing of the train works really well. We left Burton-on-Trent at a leisurely 11am and were back before 7pm. Quite thrilling to power along the mainline at 60+ mph; a welcome cha..., What an experience. It's like a taste of history, transported back in time. Get down there., Travelled on the Shakespeare Express from Derby to Stratford-upon-Avon in Pullman Class. The engine was immaculate, and the Pullman Carriage and seating was very comfortable. The staff were very welco..., Amazing day out on the Shakespeare Express from Birmingham to Stratford On Avon.
Booked a table for two on the Pullman class, well worth the price paid. Breakfast was hot & drinks were served quickly ..., Great experience k. The Shap Mountaineer would recommend.",Vintage Trains | Birmingham Steam Trains on Britain’s Mainline Railway,55,9.3 s,0,18.6 s,46,3.7 s,0.066,5.6 s,🟡 Borderline,⚪ n/a,46,Poor,124.3,2743.3,201.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpennLg8Q_1Anp88Sy7fXq-jc0ojqYI4rAsK_XQvrYkPqyxgig-Ag18LCDWiBolIm99AtaqHVaJCzio_IbPT28tLnppKxECfuYQQSaI9vojr2XxXCKtwuUR2bGW3AZEF0USrytU1yXLkTBmwZ5IRqGCDZxKLlW1bzZo24n1KxTw4e3JuoyYkLlhYRHOOnN_B4TkTB1nkPoZlavm5trYCuyOqXm4lYMH-CNGk8uSsmO1rreoLvDj8mlQ7_HEaVgIq0AO697QN22YslKuwdeiJyD8iWYxUn2uSnz8EV9O5Vdr4cWL-cLqymetjQAPs0zo8PHPKAwWyDyz7yNb4epsdmzryd6ZpyNqsBi4pfBDnfeLbNkch7H5KG5oLbiRNmEo_6RClFyP_5DMu5-3BBL9AEg9xGjkiVRpSE0lxuOJUMuac6g7xyQOIYWPcXvmEZuKsC5GdQitybXqr8IegRQFpbUgSpfxLtRGW_Wnp0xHN9BaNHcD-IneikgPrmehiDKlFRx59FUBWFtX-KPhzi5OKaCOUwJDYWzVoSWzEi_45prc8mU_5FvoM4MQSaILRdmoIY5SkkSjxprBp30qVxMx_laMu24LSw1wJdnJGejq6-7I4aw6-dgc6AN7Bu578MSearetZXidV&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,4,52.4547326,-1.844835
